rank,player_name,pokemon_name,teratypes,nature
1,Luca Ceribelli [IT],Miraidon,Fairy,Hadron Engine
1,Luca Ceribelli [IT],ogerpon-hearthflame-mask,Fire,Mold Breaker
1,Luca Ceribelli [IT],urshifu-rapid-strike,Water,Unseen Fist
1,Luca Ceribelli [IT],Iron-Hands,Bug,Quark Drive
1,Luca Ceribelli [IT],Whimsicott,Dark,Prankster
1,Luca Ceribelli [IT],Farigiraf,Water,Armor Tail
2,Yuta Ishigaki [JP],landorus-incarnate,Ghost,Sheer Force
2,Yuta Ishigaki [JP],urshifu-rapid-strike,Water,Unseen Fist
2,Yuta Ishigaki [JP],Iron-Valiant,Ghost,Quark Drive
2,Yuta Ishigaki [JP],Pelipper,Grass,Drizzle
2,Yuta Ishigaki [JP],Amoonguss,Fire,Regenerator
2,Yuta Ishigaki [JP],calyrex-ice,Grass,As One
3,Michael Kelsch [DE],Flutter-Mane,Grass,Protosynthesis
3,Michael Kelsch [DE],Chien-Pao,Ghost,Sword of Ruin
3,Michael Kelsch [DE],Rillaboom,Fire,Grassy Surge
3,Michael Kelsch [DE],Zamazenta,Dragon,Dauntless Shield
3,Michael Kelsch [DE],urshifu-rapid-strike,Water,Unseen Fist
3,Michael Kelsch [DE],Entei,Normal,Inner Focus
4,SEONG JAE JEONG [KR],Miraidon,Fairy,Hadron Engine
4,SEONG JAE JEONG [KR],ogerpon-hearthflame-mask,Fire,Mold Breaker
4,SEONG JAE JEONG [KR],Whimsicott,Water,Prankster
4,SEONG JAE JEONG [KR],Iron-Hands,Grass,Quark Drive
4,SEONG JAE JEONG [KR],urshifu-single-strike,Dark,Unseen Fist
4,SEONG JAE JEONG [KR],Farigiraf,Water,Armor Tail
5,Diego Ferreira [AU],Ursaluna,Fairy,Guts
5,Diego Ferreira [AU],ogerpon-wellspring-mask,Water,Water Absorb
5,Diego Ferreira [AU],Gallade,Fire,Sharpness
5,Diego Ferreira [AU],indeedee-female,Dragon,Psychic Surge
5,Diego Ferreira [AU],calyrex-ice,Dragon,As One
5,Diego Ferreira [AU],Torkoal,Grass,Drought
